id,title,address,price,surface,rooms,property_type,latitude,longitude,description,features,source,url,scraped_at,property_type_extracted,qualitative_features
1561,Studio Available !!,Los Angeles,1200.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/los-angeles-studio-available/7872429807.html,2025-08-09,studio,['unknown']
1562,Studio  We welcome your pets! Ask about our pet policy!,Long Beach,2198.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/long-beach-studio-we-welcome-your-pets/7871366817.html,2025-08-09,studio,['unknown']
1563,"Gorgeous studio close to shopping, renovated including fridge!","18520 Vincennes St, Northridge, CA",1599.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/northridge-gorgeous-studio-close-to/7871906203.html,2025-08-09,studio,['unknown']
1564,Gorgeous Studio! 336 Sq Ft! Must see!,Studio City - North Hollywood,1812.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-gorgeous-studio-336-sq/7866531927.html,2025-08-09,studio,['unknown']
1565,X marks the spot! You've just found a gorgeous Studio!,Northridge - Near CSUN,2071.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/northridge-marks-the-spot-youve-just/7870792833.html,2025-08-09,studio,['unknown']
1566,"Studio 1ba, Fitness Center, 24-Hour Lobby Attendants","123 S. Figueroa St, Los Angeles, CA",1520.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-1ba-fitness-center/7871344417.html,2025-08-09,studio,['unknown']
1567,Studio Available in Mid City/Miracle Mile!,Miracle Mile / Museum Square / Los Angeles,1295.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-available-in-mid/7871244651.html,2025-08-09,studio,['unknown']
1568,Wow! This Studio is simply stunning! Visit today! 365 Sq Ft!,Long Beach,1724.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-wow-this-studio-is-simply/7871836923.html,2025-08-09,studio,['unknown']
1569,A Large Studio/ Single Apt,Tarzana,1800.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/tarzana-large-studio-single-apt/7869530422.html,2025-08-09,studio,['unknown']
1570,"Bright Studio, HdWds, No Shared Walls, Great Bldg/Area, Must See!",Larchmont area,1375.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bright-studio-hdwds-no/7872418611.html,2025-08-09,studio,['bright']
